employee_id,job_title,department,location,cost_center,shift,manager_id
EMP_00001,Gerente de RH,Financeiro,Salvador,CC013,Morning,EMP_00495
EMP_00002,Engenheiro de Dados,Marketing,Belo Horizonte,CC026,Morning,EMP_00345
EMP_00003,Desenvolvedor Python,Operações,Salvador,CC010,Morning,EMP_00306
EMP_00004,Analista Financeiro,Operações,Porto Alegre,CC008,Morning,EMP_00971
EMP_00005,Engenheiro de Dados,Recursos Humanos,Curitiba,CC013,Afternoon,EMP_00024
EMP_00006,Coordenador de TI,Marketing,Porto Alegre,CC024,Afternoon,EMP_00288
EMP_00007,Analista Financeiro,Operações,Belo Horizonte,CC022,Morning,EMP_00946
EMP_00008,Auxiliar Administrativo,Recursos Humanos,São Paulo,CC044,Morning,EMP_00367
EMP_00009,Desenvolvedor Python,Jurídico,Porto Alegre,CC004,Morning,EMP_00147
EMP_00010,Consultor de BI,TI,Curitiba,CC014,Morning,EMP_00174
EMP_00011,Coordenador de TI,Vendas,São Paulo,CC046,Afternoon,EMP_00145
EMP_00012,Analista de Dados,Operações,Fortaleza,CC030,Morning,EMP_00330
EMP_00013,Analista de Dados,Jurídico,São Paulo,CC001,Morning,EMP_00473
EMP_00014,Coordenador de TI,Financeiro,Curitiba,CC009,Morning,EMP_00270
EMP_00015,Diretor de Operações,Financeiro,Fortaleza,CC044,Morning,EMP_00528
EMP_00016,Estagiário,Financeiro,Belo Horizonte,CC011,Night,EMP_00197
EMP_00017,Analista Financeiro,Financeiro,Rio de Janeiro,CC013,Morning,EMP_00657
EMP_00018,Consultor de BI,Financeiro,São Paulo,CC008,Morning,EMP_00515
EMP_00019,Gerente de RH,Vendas,Fortaleza,CC016,Morning,EMP_00414
EMP_00020,Auxiliar Administrativo,Marketing,Belo Horizonte,CC002,Afternoon,EMP_00190
EMP_00021,Estagiário,Operações,Curitiba,CC033,Afternoon,EMP_00347
EMP_00022,Analista Financeiro,Recursos Humanos,Fortaleza,CC005,Morning,EMP_00413
EMP_00023,Auxiliar Administrativo,Jurídico,Belo Horizonte,CC029,Morning,EMP_00313
EMP_00024,Diretor de Operações,Jurídico,Curitiba,CC040,Morning,EMP_00081
EMP_00025,Coordenador de TI,Jurídico,Curitiba,CC013,Morning,EMP_00020
EMP_00026,Coordenador de TI,Operações,Salvador,CC008,Afternoon,EMP_00911
EMP_00027,Analista de Dados,Marketing,Fortaleza,CC005,Morning,EMP_00287
EMP_00028,Desenvolvedor Python,Operações,São Paulo,CC046,Morning,EMP_00301
EMP_00029,Analista de Dados,Vendas,Belo Horizonte,CC010,Morning,EMP_00502
EMP_00030,Coordenador de TI,Jurídico,Salvador,CC022,Afternoon,EMP_00925
EMP_00031,Coordenador de TI,Financeiro,Fortaleza,CC011,Morning,EMP_00282
EMP_00032,Analista de Dados,Vendas,Belo Horizonte,CC038,Morning,EMP_00454
EMP_00033,Coordenador de TI,Jurídico,São Paulo,CC039,Morning,EMP_00643
EMP_00034,Diretor de Operações,Vendas,Fortaleza,CC048,Morning,EMP_00180
EMP_00035,Auxiliar Administrativo,Operações,São Paulo,CC032,Morning,EMP_00942
EMP_00036,Analista de Dados,Vendas,Rio de Janeiro,CC009,Afternoon,EMP_00710
EMP_00037,Estagiário,TI,Curitiba,CC040,Morning,EMP_00916
EMP_00038,Estagiário,Marketing,Belo Horizonte,CC007,Afternoon,EMP_00343
EMP_00039,Desenvolvedor Python,Marketing,Fortaleza,CC011,Morning,EMP_00737
EMP_00040,Auxiliar Administrativo,Operações,Rio de Janeiro,CC021,Afternoon,EMP_00220
EMP_00041,Gerente de RH,Vendas,Curitiba,CC010,Morning,EMP_00742
EMP_00042,Gerente de RH,Financeiro,Salvador,CC008,Morning,EMP_00356
EMP_00043,Diretor de Operações,Financeiro,Salvador,CC039,Morning,EMP_00742
EMP_00044,Auxiliar Administrativo,Financeiro,Rio de Janeiro,CC034,Afternoon,EMP_00171
EMP_00045,Estagiário,Recursos Humanos,Curitiba,CC050,Morning,EMP_00735
EMP_00046,Gerente de RH,Vendas,Fortaleza,CC047,Morning,EMP_00711
EMP_00047,Analista de Dados,Financeiro,Rio de Janeiro,CC014,Morning,EMP_00494
EMP_00048,Estagiário,Vendas,Rio de Janeiro,CC044,Morning,EMP_00272
EMP_00049,Auxiliar Administrativo,Marketing,Fortaleza,CC009,Morning,EMP_00199
EMP_00050,Consultor de BI,TI,São Paulo,CC031,Morning,EMP_00189
EMP_00051,Coordenador de TI,Jurídico,Fortaleza,CC023,Morning,EMP_00856
EMP_00052,Analista de Dados,Jurídico,Curitiba,CC027,Morning,EMP_00788
EMP_00053,Gerente de RH,Operações,Porto Alegre,CC003,Night,EMP_00370
EMP_00054,Analista de Dados,Jurídico,Porto Alegre,CC027,Morning,EMP_00727
EMP_00055,Analista Financeiro,Marketing,São Paulo,CC004,Morning,EMP_00189
EMP_00056,Gerente de RH,Operações,Salvador,CC014,Morning,EMP_00179
EMP_00057,Analista de Dados,Financeiro,Salvador,CC016,Morning,EMP_00080
EMP_00058,Estagiário,Marketing,Belo Horizonte,CC020,Afternoon,EMP_00332
EMP_00059,Desenvolvedor Python,Marketing,Salvador,CC031,Night,EMP_00588
EMP_00060,Coordenador de TI,TI,Porto Alegre,CC049,Night,EMP_00835
EMP_00061,Diretor de Operações,TI,Porto Alegre,CC018,Afternoon,EMP_00667
EMP_00062,Coordenador de TI,Vendas,Fortaleza,CC027,Morning,EMP_00091
EMP_00063,Diretor de Operações,Financeiro,Fortaleza,CC048,Afternoon,EMP_00931
EMP_00064,Analista de Dados,Recursos Humanos,Belo Horizonte,CC047,Afternoon,EMP_00722
EMP_00065,Coordenador de TI,Marketing,São Paulo,CC015,Morning,EMP_00948
EMP_00066,Gerente de RH,Marketing,Belo Horizonte,CC010,Morning,EMP_00135
EMP_00067,Estagiário,Recursos Humanos,Rio de Janeiro,CC050,Morning,EMP_00397
EMP_00068,Desenvolvedor Python,Vendas,Rio de Janeiro,CC010,Morning,EMP_00213
EMP_00069,Diretor de Operações,Recursos Humanos,Curitiba,CC034,Morning,EMP_00747
EMP_00070,Diretor de Operações,TI,Curitiba,CC033,Afternoon,EMP_00507
EMP_00071,Desenvolvedor Python,Recursos Humanos,Fortaleza,CC022,Morning,EMP_00650
EMP_00072,Auxiliar Administrativo,Operações,Curitiba,CC049,Morning,EMP_00120
EMP_00073,Diretor de Operações,Recursos Humanos,Curitiba,CC041,Morning,EMP_00059
EMP_00074,Analista de Dados,TI,Belo Horizonte,CC039,Afternoon,EMP_00297
EMP_00075,Coordenador de TI,TI,Salvador,CC041,Afternoon,EMP_00067
EMP_00076,Consultor de BI,Operações,Belo Horizonte,CC042,Morning,EMP_00279
